Date,KRW=X
2024-06-11,1373.9599609375
2024-06-12,1377.3599853515625
2024-06-13,1370.4100341796875
2024-06-14,1373.739990234375
2024-06-17,1382.280029296875
2024-06-18,1379.06005859375
2024-06-19,1378.6099853515625
2024-06-20,1381.1500244140625
2024-06-21,1391.8199462890625
2024-06-24,1388.3900146484375
2024-06-25,1386.1099853515625
2024-06-26,1390.8900146484375
2024-06-27,1393.3800048828125
2024-06-28,1386.949951171875
2024-07-01,1380.2900390625
2024-07-02,1383.4200439453125
2024-07-03,1383.4200439453125
2024-07-04,1385.77001953125
2024-07-05,1380.25
2024-07-08,1376.5699462890625
2024-07-09,1382.75
2024-07-10,1382.4200439453125
2024-07-11,1382.989990234375
2024-07-12,1371.27001953125
2024-07-15,1374.1099853515625
2024-07-16,1383.68994140625
2024-07-17,1382.6400146484375
2024-07-18,1378.6500244140625
2024-07-19,1385.239990234375
2024-07-22,1388.81005859375
2024-07-23,1387.0999755859375
2024-07-24,1384.5699462890625
2024-07-25,1382.6500244140625
2024-07-26,1381.4300537109375
2024-07-29,1382.0899658203125
2024-07-30,1381.3599853515625
2024-07-31,1383.5
2024-08-01,1367.9200439453125
2024-08-02,1368.969970703125
2024-08-05,1357.1700439453125
2024-08-06,1367.4000244140625
2024-08-07,1370.31005859375
2024-08-08,1375.3299560546875
2024-08-09,1373.760009765625
2024-08-12,1363.8399658203125
2024-08-13,1369.5400390625
2024-08-14,1362.1700439453125
2024-08-15,1355.7099609375
2024-08-16,1363.510009765625
2024-08-19,1348.97998046875
2024-08-20,1330.8800048828125
2024-08-21,1327.5799560546875
2024-08-22,1333.6600341796875
2024-08-23,1339.5400390625
2024-08-26,1323.8800048828125
2024-08-27,1326.6400146484375
2024-08-28,1326.3599853515625
2024-08-29,1336.68994140625
2024-08-30,1332.8800048828125
2024-09-02,1336.5799560546875
2024-09-03,1337.550048828125
2024-09-04,1340.4100341796875
2024-09-05,1331.010009765625
2024-09-06,1332.7900390625
2024-09-09,1337.77001953125
2024-09-10,1341.27001953125
2024-09-11,1343.3399658203125
2024-09-12,1339.1800537109375
2024-09-13,1335.68994140625
2024-09-16,1329.510009765625
2024-09-17,1319.1099853515625
2024-09-18,1322.9300537109375
2024-09-19,1322.260009765625
2024-09-20,1327.6099853515625
2024-09-23,1331.5
2024-09-24,1333.6199951171875
2024-09-25,1324.8900146484375
2024-09-26,1335.050048828125
2024-09-27,1313.300048828125
2024-09-30,1309.300048828125
2024-10-01,1315.3299560546875
2024-10-02,1324.8399658203125
2024-10-03,1324.030029296875
2024-10-04,1334.4100341796875
2024-10-07,1345.8800048828125
2024-10-08,1342.3699951171875
2024-10-09,1341.31005859375
2024-10-10,1343.02001953125
2024-10-11,1349.739990234375
2024-10-14,1348.3299560546875
2024-10-15,1357.27001953125
2024-10-16,1363.1800537109375
2024-10-17,1364.199951171875
2024-10-18,1370.050048828125
2024-10-21,1369.010009765625
2024-10-22,1376.5
2024-10-23,1376.6300048828125
2024-10-24,1377.3399658203125
2024-10-25,1376.3199462890625
2024-10-28,1387.6600341796875
2024-10-29,1381.969970703125
2024-10-30,1383.1800537109375
2024-10-31,1378.5699462890625
2024-11-01,1372.9300537109375
2024-11-04,1379.3399658203125
2024-11-05,1372.8599853515625
2024-11-06,1378.0
2024-11-07,1399.800048828125
2024-11-08,1372.0799560546875
2024-11-11,1397.199951171875
2024-11-12,1400.550048828125
2024-11-13,1406.6500244140625
2024-11-14,1399.0
2024-11-15,1400.8299560546875
2024-11-18,1394.3499755859375
2024-11-19,1389.5
2024-11-20,1392.1600341796875
